algorithm,dtype,n,mean_time,std_time,skipped
bubble,random,100,0.0002423199824988842,3.464887813560562e-06,False
bubble,random,500,0.007216419978067279,0.0002259574948223921,False
bubble,random,1000,0.032527459971606734,0.00023206435109229115,False
bubble,random,5000,0.8403350400272757,0.0078055976696466975,False
bubble,random,10000,3.445847199950367,0.008788079869990145,False
bubble,sorted,100,4.380056634545326e-06,4.490085303441539e-07,False
bubble,sorted,500,2.7219997718930244e-05,6.735684527000355e-07,False
bubble,sorted,1000,5.807993002235889e-05,5.564196756994847e-07,False
bubble,sorted,5000,0.0002106199972331524,2.254020698998516e-05,False
bubble,sorted,10000,0.00042128004133701324,4.127542137923672e-05,False
bubble,reversed,100,0.0003872800152748823,6.903331971445469e-05,False
bubble,reversed,500,0.009395440015941859,0.0001536959473538959,False
bubble,reversed,1000,0.040239419974386695,0.00035640003324053445,False
bubble,reversed,5000,1.1189898999407888,0.004845142754918798,False
bubble,reversed,10000,4.51198271997273,0.046716578416585094,False
quick,random,100,7.806001231074333e-05,2.1041811958781353e-05,False
quick,random,500,0.00045002000406384467,2.4611932334275032e-05,False
quick,random,1000,0.0009274400305002928,3.940182509456874e-05,False
quick,random,5000,0.006743079936131835,0.00022057463363393386,False
quick,random,10000,0.013000779971480369,0.0003426373522310453,False
quick,sorted,100,9.745992720127106e-05,7.141861772685223e-06,False
quick,sorted,500,0.00044176001101732255,4.3905867729287404e-05,False
quick,sorted,1000,0.000983660016208887,0.00012072428231210066,False
quick,sorted,5000,0.005962140019983053,0.00029824997292806575,False
quick,sorted,10000,0.012788800010457634,0.00043799952545553076,False
quick,reversed,100,6.886003538966178e-05,2.8841804522090313e-06,False
quick,reversed,500,0.000418639974668622,1.741874064505165e-05,False
quick,reversed,1000,0.0012462000362575055,0.00012566166381556285,False
quick,reversed,5000,0.006825320003554225,0.00036629492855790453,False
quick,reversed,10000,0.012799040088430047,0.0005869772145164252,False
